# time  ID  size  fromHost  toHost  TTL  isResponse
5507.0000 M187 1548 n29 n25 2 N 
5537.0000 M188 1913 n19 n20 2 N 
5569.0000 M189 1399 n25 n0 2 N 
5594.0000 M190 1425 n18 n21 2 N 
5622.0000 M191 1943 n25 n3 2 N 
5656.0000 M192 1386 n12 n29 2 N 
5684.0000 M193 1911 n0 n1 2 N 
5718.0000 M194 1569 n39 n13 2 N 
5752.0000 M195 1565 n39 n37 2 N 
5779.0000 M196 1946 n38 n19 2 N 
5808.0000 M197 1147 n30 n24 2 N 
5840.0000 M198 1826 n33 n13 2 N 
5874.0000 M199 1562 n32 n37 2 N 
5902.0000 M200 1201 n19 n17 2 N 
5929.0000 M201 1048 n35 n9 2 N 
5960.0000 M202 1825 n24 n2 2 N 
5989.0000 M203 1332 n2 n3 2 N 
6019.0000 M204 1942 n38 n13 2 N 
6045.0000 M205 1534 n11 n33 2 N 
6077.0000 M206 1821 n24 n16 2 N 
6108.0000 M207 1370 n11 n26 2 N 
6138.0000 M208 1607 n38 n25 2 N 
6163.0000 M209 1355 n0 n2 2 N 
6192.0000 M210 1957 n13 n9 2 N 
6217.0000 M211 1145 n6 n28 2 N 
6246.0000 M212 1315 n27 n32 2 N 
6279.0000 M213 1285 n40 n30 2 N 
6308.0000 M214 1150 n34 n25 2 N 
6339.0000 M215 1242 n29 n18 2 N 
6370.0000 M216 1368 n38 n10 2 N 
6398.0000 M217 1908 n33 n37 2 N 
6426.0000 M218 1481 n38 n33 2 N 
6456.0000 M219 1266 n15 n19 2 N 
6489.0000 M220 1565 n16 n13 2 N 
6523.0000 M221 1996 n23 n15 2 N 
6553.0000 M222 1258 n30 n19 2 N 
6581.0000 M223 1487 n20 n3 2 N 
6608.0000 M224 1313 n20 n10 2 N 
6638.0000 M225 1872 n31 n36 2 N 
6671.0000 M226 1849 n36 n39 2 N 
6696.0000 M227 1592 n1 n15 2 N 
6730.0000 M228 1534 n34 n9 2 N 
6763.0000 M229 1246 n9 n8 2 N 
6796.0000 M230 1058 n20 n23 2 N 
6821.0000 M231 1810 n25 n11 2 N 
6849.0000 M232 1646 n3 n8 2 N 
6879.0000 M233 1420 n6 n11 2 N 
6912.0000 M234 1219 n14 n28 2 N 
6939.0000 M235 1992 n6 n9 2 N 
6970.0000 M236 1405 n17 n2 2 N 
7000.0000 M237 1679 n15 n10 2 N 
7025.0000 M238 1769 n9 n33 2 N 
7057.0000 M239 1652 n32 n22 2 N 
7088.0000 M240 1056 n23 n20 2 N 
7117.0000 M241 1860 n7 n10 2 N 
7149.0000 M242 1809 n16 n1 2 N 
7176.0000 M243 1669 n10 n6 2 N 
7203.0000 M244 1939 n7 n40 2 N 
7233.0000 M245 1903 n29 n1 2 N 
7260.0000 M246 1867 n9 n16 2 N 
7293.0000 M247 1525 n20 n17 2 N 
7322.0000 M248 1613 n33 n39 2 N 
7355.0000 M249 1828 n12 n18 2 N 
7380.0000 M250 1315 n11 n6 2 N 
7410.0000 M251 1713 n23 n27 2 N 
7444.0000 M252 1781 n33 n31 2 N 
7477.0000 M253 1360 n13 n9 2 N 
7502.0000 M254 1061 n13 n40 2 N 
7536.0000 M255 1113 n37 n19 2 N 
7563.0000 M256 1089 n34 n28 2 N 
7596.0000 M257 1796 n13 n39 2 N 
7625.0000 M258 1758 n6 n28 2 N 
7655.0000 M259 1685 n38 n1 2 N 
7689.0000 M260 1428 n35 n28 2 N 
7718.0000 M261 1322 n31 n1 2 N 
7749.0000 M262 1470 n17 n0 2 N 
7781.0000 M263 1265 n40 n8 2 N 
7808.0000 M264 1984 n19 n17 2 N 
7833.0000 M265 1949 n19 n6 2 N 
7865.0000 M266 1993 n15 n7 2 N 
7891.0000 M267 1184 n27 n28 2 N 
7918.0000 M268 1265 n34 n36 2 N 
7943.0000 M269 1488 n39 n14 2 N 
7970.0000 M270 1505 n3 n17 2 N 
7995.0000 M271 1683 n18 n2 2 N 
8021.0000 M272 1903 n25 n36 2 N 
8054.0000 M273 1548 n11 n25 2 N 
8080.0000 M274 1096 n30 n38 2 N 
8105.0000 M275 1478 n11 n32 2 N 
8131.0000 M276 1825 n8 n15 2 N 
8163.0000 M277 1782 n25 n12 2 N 
8188.0000 M278 1836 n23 n39 2 N 
8214.0000 M279 1736 n24 n23 2 N 
8242.0000 M280 1464 n7 n0 2 N 
8270.0000 M281 1245 n23 n19 2 N 
8300.0000 M282 1403 n38 n35 2 N 
8333.0000 M283 1956 n9 n35 2 N 
8361.0000 M284 1448 n25 n22 2 N 
8389.0000 M285 1673 n17 n4 2 N 
8421.0000 M286 1845 n9 n8 2 N 
8450.0000 M287 1714 n32 n20 2 N 
8482.0000 M288 1435 n34 n37 2 N 
8515.0000 M289 1126 n20 n14 2 N 
8542.0000 M290 1390 n27 n23 2 N 
8567.0000 M291 1939 n22 n34 2 N 
8594.0000 M292 1406 n21 n23 2 N 
8623.0000 M293 1782 n33 n6 2 N 
8654.0000 M294 1544 n29 n18 2 N 
8688.0000 M295 1063 n9 n0 2 N 
8721.0000 M296 1080 n20 n15 2 N 
8752.0000 M297 1264 n20 n16 2 N 
8781.0000 M298 1156 n13 n40 2 N 
8814.0000 M299 1133 n17 n13 2 N 
8839.0000 M300 1566 n32 n23 2 N 
8873.0000 M301 1763 n36 n30 2 N 
8906.0000 M302 1440 n37 n13 2 N 
8934.0000 M303 1427 n37 n30 2 N 
8965.0000 M304 1831 n20 n16 2 N 
8996.0000 M305 1189 n19 n28 2 N 
9023.0000 M306 1217 n11 n16 2 N 
9055.0000 M307 1847 n39 n7 2 N 
9089.0000 M308 1513 n2 n20 2 N 
9117.0000 M309 1422 n7 n9 2 N 
9146.0000 M310 1696 n3 n26 2 N 
9177.0000 M311 1425 n30 n21 2 N 
9208.0000 M312 1483 n15 n40 2 N 
9234.0000 M313 1675 n35 n14 2 N 
9263.0000 M314 1593 n33 n18 2 N 
9288.0000 M315 1735 n28 n33 2 N 
9313.0000 M316 1708 n15 n37 2 N 
9340.0000 M317 1267 n26 n30 2 N 
9369.0000 M318 1757 n11 n31 2 N 
9401.0000 M319 1807 n19 n14 2 N 
9430.0000 M320 1889 n37 n14 2 N 
9464.0000 M321 1173 n21 n0 2 N 
9497.0000 M322 1888 n29 n11 2 N 
9524.0000 M323 1712 n4 n12 2 N 
9555.0000 M324 1730 n15 n5 2 N 
9589.0000 M325 1799 n6 n14 2 N 
9623.0000 M326 1290 n16 n24 2 N 
9649.0000 M327 1857 n18 n14 2 N 
9678.0000 M328 1185 n12 n40 2 N 
9704.0000 M329 1586 n2 n19 2 N 
9730.0000 M330 1696 n18 n8 2 N 
9758.0000 M331 1137 n36 n17 2 N 
9787.0000 M332 1333 n28 n13 2 N 
9814.0000 M333 1364 n1 n19 2 N 
9843.0000 M334 1099 n20 n13 2 N 
9870.0000 M335 1118 n36 n37 2 N 
9903.0000 M336 1599 n3 n6 2 N 
9928.0000 M337 1060 n20 n11 2 N 
9957.0000 M338 1815 n2 n38 2 N 
9986.0000 M339 1375 n14 n32 2 N 
10020.0000 M340 1547 n11 n37 2 N 
10047.0000 M341 1767 n0 n10 2 N 
10077.0000 M342 1575 n18 n1 2 N 
10102.0000 M343 1160 n15 n32 2 N 
10133.0000 M344 1374 n20 n27 2 N 
10162.0000 M345 1688 n2 n29 2 N 
10188.0000 M346 1064 n26 n8 2 N 
10221.0000 M347 1718 n25 n40 2 N 
10246.0000 M348 1852 n32 n12 2 N 
10276.0000 M349 1437 n20 n16 2 N 
10301.0000 M350 1686 n6 n37 2 N 
10331.0000 M351 1662 n40 n26 2 N 
10362.0000 M352 1250 n14 n4 2 N 
10393.0000 M353 1553 n40 n18 2 N 
10423.0000 M354 1838 n37 n8 2 N 
10457.0000 M355 1660 n10 n9 2 N 
10482.0000 M356 1916 n22 n16 2 N 
10511.0000 M357 1657 n6 n8 2 N 
10540.0000 M358 1098 n1 n6 2 N 
10567.0000 M359 1507 n11 n25 2 N 
10601.0000 M360 1640 n1 n37 2 N 
10631.0000 M361 1657 n35 n32 2 N 
10664.0000 M362 1012 n31 n36 2 N 
10690.0000 M363 1861 n15 n13 2 N 
10722.0000 M364 1252 n35 n5 2 N 
10754.0000 M365 1002 n31 n6 2 N 
10783.0000 M366 1759 n40 n21 2 N 
10808.0000 M367 1234 n10 n29 2 N 
10833.0000 M368 1110 n26 n11 2 N 
10860.0000 M369 1542 n36 n35 2 N 
10890.0000 M370 1989 n23 n6 2 N 
10917.0000 M371 1268 n17 n24 2 N 
10943.0000 M372 1281 n17 n13 2 N 
10976.0000 M373 1968 n9 n11 2 N 
11007.0000 M374 1585 n26 n17 2 N 
11033.0000 M375 1701 n3 n16 2 N 
11059.0000 M376 1582 n4 n38 2 N 
11084.0000 M377 1579 n26 n17 2 N 
11110.0000 M378 1309 n21 n2 2 N 
11143.0000 M379 1736 n33 n1 2 N 
11171.0000 M380 1193 n16 n34 2 N 
11203.0000 M381 1201 n24 n16 2 N 
11235.0000 M382 1067 n38 n21 2 N 
11261.0000 M383 1768 n30 n2 2 N 
11293.0000 M384 1340 n4 n9 2 N 
11323.0000 M385 1676 n31 n22 2 N 
11350.0000 M386 1383 n21 n40 2 N 
11383.0000 M387 1574 n36 n5 2 N 
11416.0000 M388 1009 n37 n8 2 N 
11442.0000 M389 1232 n15 n26 2 N 
11472.0000 M390 1618 n14 n38 2 N 
11505.0000 M391 1102 n29 n38 2 N 
11534.0000 M392 1972 n11 n14 2 N 
11565.0000 M393 1390 n17 n36 2 N 
11591.0000 M394 1552 n6 n10 2 N 
11618.0000 M395 1137 n16 n30 2 N 
11651.0000 M396 1165 n26 n15 2 N 
11681.0000 M397 1913 n27 n18 2 N 
11712.0000 M398 1603 n1 n9 2 N 
11746.0000 M399 1523 n23 n36 2 N 
11776.0000 M400 1161 n14 n9 2 N 
11807.0000 M401 1156 n6 n20 2 N 
11834.0000 M402 1844 n24 n5 2 N 
11859.0000 M403 1022 n26 n17 2 N 
11892.0000 M404 1322 n13 n36 2 N 
11917.0000 M405 1009 n23 n11 2 N 
11946.0000 M406 1160 n16 n5 2 N 
11980.0000 M407 1620 n26 n4 2 N 
12012.0000 M408 1737 n19 n9 2 N 
12040.0000 M409 1171 n10 n38 2 N 
12072.0000 M410 1144 n0 n7 2 N 
12106.0000 M411 1368 n2 n14 2 N 
12132.0000 M412 1802 n21 n33 2 N 
12162.0000 M413 1292 n15 n18 2 N 
12188.0000 M414 1646 n37 n11 2 N 
12215.0000 M415 1076 n35 n34 2 N 
12246.0000 M416 1430 n24 n38 2 N 
12276.0000 M417 1462 n6 n8 2 N 
12309.0000 M418 1070 n36 n37 2 N 
12343.0000 M419 1267 n15 n20 2 N 
12375.0000 M420 1729 n25 n18 2 N 
12407.0000 M421 1389 n21 n25 2 N 
12434.0000 M422 1697 n1 n18 2 N 
12461.0000 M423 1975 n24 n37 2 N 
12490.0000 M424 1894 n1 n6 2 N 
12520.0000 M425 1778 n13 n24 2 N 
12549.0000 M426 1731 n10 n33 2 N 
12576.0000 M427 1116 n0 n26 2 N 
12610.0000 M428 1373 n22 n9 2 N 
12643.0000 M429 1248 n18 n1 2 N 
12674.0000 M430 1829 n4 n18 2 N 
12708.0000 M431 1446 n33 n14 2 N 
12737.0000 M432 1825 n32 n31 2 N 
12770.0000 M433 1428 n37 n3 2 N 
12798.0000 M434 1725 n16 n30 2 N 
12832.0000 M435 1245 n8 n19 2 N 
12858.0000 M436 1196 n9 n22 2 N 
12887.0000 M437 1350 n2 n20 2 N 
12917.0000 M438 1114 n4 n5 2 N 
12950.0000 M439 1051 n21 n12 2 N 
12979.0000 M440 1095 n4 n39 2 N 
13004.0000 M441 1429 n27 n1 2 N 
13032.0000 M442 1539 n2 n10 2 N 
13064.0000 M443 1070 n16 n24 2 N 
13089.0000 M444 1291 n28 n20 2 N 
13118.0000 M445 1930 n5 n27 2 N 
13151.0000 M446 1842 n31 n6 2 N 
13179.0000 M447 1287 n28 n7 2 N 
13205.0000 M448 1360 n19 n26 2 N 
13237.0000 M449 1349 n28 n25 2 N 
13268.0000 M450 1294 n33 n4 2 N 
13294.0000 M451 1623 n31 n27 2 N 
13326.0000 M452 1984 n24 n20 2 N 
