# time  ID  size  fromHost  toHost  TTL  isResponse
51439.0000 M1741 1837 n28 n36 2 N 
51471.0000 M1742 1789 n18 n19 2 N 
51500.0000 M1743 1142 n16 n40 2 N 
51526.0000 M1744 1661 n38 n17 2 N 
51552.0000 M1745 1797 n30 n24 2 N 
51586.0000 M1746 1590 n8 n14 2 N 
51615.0000 M1747 1427 n33 n14 2 N 
51642.0000 M1748 1076 n29 n1 2 N 
51675.0000 M1749 1378 n19 n18 2 N 
51703.0000 M1750 1265 n34 n17 2 N 
51734.0000 M1751 1127 n27 n10 2 N 
51761.0000 M1752 1659 n3 n31 2 N 
51791.0000 M1753 1425 n32 n31 2 N 
51819.0000 M1754 1594 n23 n38 2 N 
51845.0000 M1755 1852 n13 n17 2 N 
51879.0000 M1756 1359 n33 n29 2 N 
51907.0000 M1757 1384 n6 n36 2 N 
51937.0000 M1758 1984 n15 n37 2 N 
51963.0000 M1759 1508 n15 n3 2 N 
51989.0000 M1760 1834 n27 n20 2 N 
52022.0000 M1761 1106 n27 n3 2 N 
52052.0000 M1762 1846 n27 n14 2 N 
52082.0000 M1763 1064 n39 n28 2 N 
52108.0000 M1764 1855 n27 n17 2 N 
52136.0000 M1765 1700 n24 n17 2 N 
52164.0000 M1766 1047 n40 n6 2 N 
52191.0000 M1767 1362 n3 n6 2 N 
52224.0000 M1768 1118 n14 n6 2 N 
52256.0000 M1769 1314 n4 n40 2 N 
52286.0000 M1770 1165 n35 n23 2 N 
52320.0000 M1771 1372 n12 n35 2 N 
52349.0000 M1772 1404 n15 n7 2 N 
52374.0000 M1773 1150 n39 n11 2 N 
52401.0000 M1774 1338 n30 n3 2 N 
52432.0000 M1775 1393 n0 n40 2 N 
52457.0000 M1776 1171 n27 n25 2 N 
52485.0000 M1777 1433 n38 n1 2 N 
52515.0000 M1778 1137 n23 n3 2 N 
52543.0000 M1779 1836 n6 n40 2 N 
52576.0000 M1780 1909 n24 n9 2 N 
52601.0000 M1781 1416 n25 n26 2 N 
52635.0000 M1782 1876 n16 n24 2 N 
52666.0000 M1783 1982 n28 n34 2 N 
52700.0000 M1784 1476 n7 n15 2 N 
52732.0000 M1785 1419 n8 n39 2 N 
52760.0000 M1786 1342 n2 n6 2 N 
52786.0000 M1787 1075 n3 n36 2 N 
52815.0000 M1788 1931 n40 n33 2 N 
52849.0000 M1789 1958 n15 n1 2 N 
52879.0000 M1790 1193 n31 n29 2 N 
52906.0000 M1791 1093 n21 n25 2 N 
52935.0000 M1792 1029 n40 n8 2 N 
52969.0000 M1793 1796 n32 n27 2 N 
52994.0000 M1794 1960 n30 n1 2 N 
53020.0000 M1795 1543 n11 n22 2 N 
53047.0000 M1796 1124 n21 n39 2 N 
53077.0000 M1797 1854 n35 n32 2 N 
53104.0000 M1798 1374 n7 n31 2 N 
53129.0000 M1799 1283 n30 n29 2 N 
53156.0000 M1800 1491 n26 n38 2 N 
53182.0000 M1801 1336 n31 n16 2 N 
53215.0000 M1802 1236 n3 n21 2 N 
53246.0000 M1803 1955 n23 n21 2 N 
53276.0000 M1804 1204 n11 n26 2 N 
53302.0000 M1805 1355 n19 n2 2 N 
53331.0000 M1806 1870 n17 n25 2 N 
53358.0000 M1807 1778 n33 n13 2 N 
53383.0000 M1808 1577 n12 n5 2 N 
53408.0000 M1809 1386 n40 n30 2 N 
53439.0000 M1810 1110 n33 n13 2 N 
53471.0000 M1811 1242 n23 n26 2 N 
53499.0000 M1812 1446 n7 n15 2 N 
53527.0000 M1813 1136 n19 n3 2 N 
53558.0000 M1814 1878 n37 n25 2 N 
53591.0000 M1815 1807 n31 n22 2 N 
53621.0000 M1816 1276 n39 n21 2 N 
53653.0000 M1817 1544 n11 n17 2 N 
53682.0000 M1818 1432 n13 n32 2 N 
53711.0000 M1819 1777 n2 n22 2 N 
53740.0000 M1820 1030 n8 n25 2 N 
53769.0000 M1821 1043 n25 n23 2 N 
53799.0000 M1822 1377 n18 n29 2 N 
53832.0000 M1823 1829 n12 n28 2 N 
53866.0000 M1824 1079 n6 n39 2 N 
53896.0000 M1825 1804 n14 n27 2 N 
53927.0000 M1826 1409 n28 n1 2 N 
53953.0000 M1827 1173 n39 n14 2 N 
53981.0000 M1828 1665 n24 n21 2 N 
54011.0000 M1829 1206 n36 n33 2 N 
54039.0000 M1830 1307 n34 n22 2 N 
54071.0000 M1831 1594 n26 n22 2 N 
54098.0000 M1832 1686 n32 n9 2 N 
54129.0000 M1833 1060 n1 n39 2 N 
54155.0000 M1834 1378 n29 n10 2 N 
54188.0000 M1835 1536 n10 n20 2 N 
54215.0000 M1836 1538 n18 n40 2 N 
54240.0000 M1837 1031 n38 n22 2 N 
54265.0000 M1838 1129 n12 n0 2 N 
54290.0000 M1839 1577 n0 n7 2 N 
54324.0000 M1840 1542 n1 n15 2 N 
54349.0000 M1841 1012 n35 n17 2 N 
54378.0000 M1842 1805 n9 n11 2 N 
54405.0000 M1843 1660 n20 n11 2 N 
54431.0000 M1844 1032 n37 n7 2 N 
54464.0000 M1845 1880 n31 n2 2 N 
54490.0000 M1846 1847 n25 n27 2 N 
54515.0000 M1847 1046 n33 n8 2 N 
54542.0000 M1848 1604 n4 n6 2 N 
54574.0000 M1849 1553 n15 n13 2 N 
54600.0000 M1850 1904 n7 n37 2 N 
54625.0000 M1851 1970 n35 n5 2 N 
54655.0000 M1852 1464 n10 n40 2 N 
54682.0000 M1853 1792 n17 n12 2 N 
54707.0000 M1854 1064 n36 n6 2 N 
54734.0000 M1855 1185 n40 n24 2 N 
54765.0000 M1856 1523 n9 n32 2 N 
54794.0000 M1857 1654 n28 n37 2 N 
54824.0000 M1858 1888 n16 n33 2 N 
54853.0000 M1859 1307 n7 n31 2 N 
54884.0000 M1860 1102 n0 n7 2 N 
54913.0000 M1861 1019 n23 n1 2 N 
54944.0000 M1862 1945 n14 n33 2 N 
54974.0000 M1863 1032 n29 n27 2 N 
55005.0000 M1864 1377 n21 n14 2 N 
55036.0000 M1865 1656 n33 n28 2 N 
55065.0000 M1866 1082 n35 n13 2 N 
55096.0000 M1867 1864 n40 n1 2 N 
55121.0000 M1868 1294 n21 n34 2 N 
55152.0000 M1869 1213 n31 n29 2 N 
55183.0000 M1870 1924 n4 n11 2 N 
55214.0000 M1871 1630 n24 n20 2 N 
55248.0000 M1872 1772 n32 n28 2 N 
55281.0000 M1873 1515 n4 n36 2 N 
55307.0000 M1874 1344 n27 n10 2 N 
55335.0000 M1875 1008 n40 n17 2 N 
55366.0000 M1876 1645 n29 n20 2 N 
55391.0000 M1877 1098 n2 n13 2 N 
55422.0000 M1878 1671 n23 n35 2 N 
55448.0000 M1879 1840 n13 n9 2 N 
55474.0000 M1880 1144 n35 n16 2 N 
55508.0000 M1881 1059 n29 n39 2 N 
55540.0000 M1882 1816 n30 n18 2 N 
55569.0000 M1883 1133 n9 n31 2 N 
55594.0000 M1884 1326 n8 n16 2 N 
55623.0000 M1885 1325 n36 n37 2 N 
55648.0000 M1886 1373 n4 n7 2 N 
55678.0000 M1887 1178 n23 n4 2 N 
55709.0000 M1888 1063 n5 n21 2 N 
55741.0000 M1889 1787 n23 n14 2 N 
55771.0000 M1890 1446 n3 n22 2 N 
55797.0000 M1891 1461 n14 n37 2 N 
55824.0000 M1892 1310 n17 n1 2 N 
55853.0000 M1893 1067 n0 n4 2 N 
55887.0000 M1894 1555 n17 n32 2 N 
55920.0000 M1895 1489 n25 n36 2 N 
55950.0000 M1896 1062 n16 n27 2 N 
55983.0000 M1897 1519 n4 n28 2 N 
56010.0000 M1898 1591 n8 n30 2 N 
56039.0000 M1899 1109 n20 n4 2 N 
56064.0000 M1900 1314 n25 n1 2 N 
56089.0000 M1901 1561 n39 n3 2 N 
56123.0000 M1902 1283 n39 n24 2 N 
56157.0000 M1903 1286 n6 n33 2 N 
56183.0000 M1904 1049 n29 n17 2 N 
56209.0000 M1905 1423 n40 n17 2 N 
56238.0000 M1906 1317 n20 n9 2 N 
56266.0000 M1907 1577 n10 n36 2 N 
56291.0000 M1908 1242 n28 n19 2 N 
56321.0000 M1909 1398 n7 n23 2 N 
56355.0000 M1910 1380 n35 n20 2 N 
56385.0000 M1911 1039 n1 n5 2 N 
56416.0000 M1912 1163 n9 n32 2 N 
56446.0000 M1913 1991 n5 n28 2 N 
56475.0000 M1914 1487 n16 n30 2 N 
56500.0000 M1915 1940 n3 n1 2 N 
56534.0000 M1916 1506 n10 n3 2 N 
56567.0000 M1917 1663 n14 n30 2 N 
56595.0000 M1918 1643 n19 n28 2 N 
56625.0000 M1919 1536 n25 n11 2 N 
56653.0000 M1920 1215 n10 n20 2 N 
56681.0000 M1921 1092 n4 n27 2 N 
56714.0000 M1922 1912 n10 n40 2 N 
56747.0000 M1923 1521 n18 n4 2 N 
56779.0000 M1924 1192 n29 n33 2 N 
56812.0000 M1925 1382 n22 n14 2 N 
56840.0000 M1926 1956 n3 n0 2 N 
56873.0000 M1927 1126 n0 n20 2 N 
56902.0000 M1928 1229 n35 n14 2 N 
56927.0000 M1929 1955 n22 n3 2 N 
56957.0000 M1930 1071 n16 n19 2 N 
56989.0000 M1931 1778 n16 n7 2 N 
57017.0000 M1932 1954 n4 n3 2 N 
57045.0000 M1933 1892 n40 n7 2 N 
57074.0000 M1934 1651 n15 n14 2 N 
57100.0000 M1935 1886 n26 n36 2 N 
57132.0000 M1936 1480 n21 n32 2 N 
57157.0000 M1937 1569 n30 n38 2 N 
57187.0000 M1938 1506 n15 n40 2 N 
57217.0000 M1939 1963 n8 n12 2 N 
57250.0000 M1940 1165 n0 n15 2 N 
57281.0000 M1941 1583 n14 n35 2 N 
57308.0000 M1942 1473 n23 n22 2 N 
57341.0000 M1943 1284 n28 n11 2 N 
57366.0000 M1944 1908 n31 n20 2 N 
57398.0000 M1945 1389 n33 n6 2 N 
57427.0000 M1946 1475 n21 n12 2 N 
57453.0000 M1947 1858 n21 n31 2 N 
57483.0000 M1948 1518 n4 n29 2 N 
57515.0000 M1949 1904 n25 n14 2 N 
57542.0000 M1950 1286 n25 n11 2 N 
57575.0000 M1951 1094 n11 n17 2 N 
57604.0000 M1952 1039 n13 n2 2 N 
57637.0000 M1953 1171 n13 n35 2 N 
57666.0000 M1954 1053 n27 n28 2 N 
57697.0000 M1955 1659 n5 n33 2 N 
57730.0000 M1956 1832 n12 n37 2 N 
57757.0000 M1957 1057 n30 n17 2 N 
57786.0000 M1958 1353 n30 n39 2 N 
57817.0000 M1959 1476 n18 n0 2 N 
57848.0000 M1960 1724 n14 n3 2 N 
57876.0000 M1961 1851 n36 n13 2 N 
57910.0000 M1962 1302 n3 n13 2 N 
57939.0000 M1963 1299 n14 n40 2 N 
57972.0000 M1964 1631 n37 n33 2 N 
58006.0000 M1965 1077 n7 n31 2 N 
58032.0000 M1966 1054 n28 n25 2 N 
58061.0000 M1967 1978 n36 n0 2 N 
58090.0000 M1968 1577 n37 n10 2 N 
58115.0000 M1969 1649 n40 n12 2 N 
58149.0000 M1970 1540 n27 n17 2 N 
58179.0000 M1971 1805 n20 n38 2 N 
58204.0000 M1972 1230 n22 n36 2 N 
58236.0000 M1973 1657 n23 n3 2 N 
58264.0000 M1974 1482 n39 n36 2 N 
58292.0000 M1975 1645 n36 n24 2 N 
58322.0000 M1976 1673 n25 n36 2 N 
58352.0000 M1977 1856 n15 n13 2 N 
58385.0000 M1978 1754 n28 n39 2 N 
58415.0000 M1979 1309 n8 n35 2 N 
58444.0000 M1980 1819 n1 n21 2 N 
58469.0000 M1981 1912 n20 n25 2 N 
58494.0000 M1982 1831 n26 n14 2 N 
58523.0000 M1983 1208 n14 n1 2 N 
58552.0000 M1984 1983 n30 n39 2 N 
58585.0000 M1985 1764 n5 n29 2 N 
58613.0000 M1986 1987 n19 n16 2 N 
58642.0000 M1987 1520 n26 n3 2 N 
58672.0000 M1988 1521 n38 n6 2 N 
58703.0000 M1989 1287 n37 n19 2 N 
58731.0000 M1990 1281 n17 n34 2 N 
58765.0000 M1991 1511 n19 n27 2 N 
58791.0000 M1992 1225 n1 n28 2 N 
58821.0000 M1993 1418 n7 n6 2 N 
58854.0000 M1994 1052 n12 n10 2 N 
58883.0000 M1995 1745 n5 n8 2 N 
58908.0000 M1996 1771 n4 n31 2 N 
58941.0000 M1997 1601 n28 n2 2 N 
58967.0000 M1998 1654 n30 n23 2 N 
59000.0000 M1999 1839 n38 n25 2 N 
59029.0000 M2000 1577 n30 n13 2 N 
59054.0000 M2001 1701 n2 n21 2 N 
59085.0000 M2002 1706 n26 n29 2 N 
59118.0000 M2003 1437 n38 n34 2 N 
59150.0000 M2004 1846 n10 n38 2 N 
59176.0000 M2005 1586 n15 n7 2 N 
59205.0000 M2006 1497 n1 n30 2 N 
59232.0000 M2007 1828 n40 n23 2 N 
59259.0000 M2008 1413 n7 n27 2 N 
59286.0000 M2009 1546 n15 n12 2 N 
59319.0000 M2010 1095 n8 n31 2 N 
59344.0000 M2011 1935 n17 n6 2 N 
59371.0000 M2012 1479 n35 n4 2 N 
59401.0000 M2013 1679 n14 n16 2 N 
59435.0000 M2014 1765 n2 n29 2 N 
59467.0000 M2015 1096 n9 n0 2 N 
59500.0000 M2016 1783 n8 n1 2 N 
59530.0000 M2017 1180 n26 n20 2 N 
59559.0000 M2018 1728 n17 n32 2 N 
59588.0000 M2019 1435 n0 n2 2 N 
59613.0000 M2020 1496 n20 n0 2 N 
59644.0000 M2021 1131 n16 n2 2 N 
59672.0000 M2022 1528 n18 n1 2 N 
59706.0000 M2023 1761 n3 n32 2 N 
59740.0000 M2024 1324 n31 n32 2 N 
59766.0000 M2025 1165 n25 n2 2 N 
59794.0000 M2026 1929 n35 n30 2 N 
59824.0000 M2027 1401 n5 n12 2 N 
59856.0000 M2028 1344 n15 n8 2 N 
59881.0000 M2029 1214 n38 n28 2 N 
59914.0000 M2030 1651 n15 n36 2 N 
59939.0000 M2031 1389 n39 n7 2 N 
59970.0000 M2032 1894 n22 n7 2 N 
59996.0000 M2033 1974 n31 n10 2 N 
60028.0000 M2034 1904 n40 n24 2 N 
60059.0000 M2035 1787 n4 n32 2 N 
60089.0000 M2036 1535 n40 n20 2 N 
60118.0000 M2037 1130 n31 n26 2 N 
60145.0000 M2038 1969 n17 n39 2 N 
60171.0000 M2039 1519 n11 n5 2 N 
60201.0000 M2040 1161 n40 n11 2 N 
60234.0000 M2041 1922 n7 n30 2 N 
60267.0000 M2042 1647 n38 n1 2 N 
60293.0000 M2043 1945 n15 n2 2 N 
60327.0000 M2044 1500 n12 n15 2 N 
60358.0000 M2045 1595 n17 n25 2 N 
60385.0000 M2046 1591 n27 n26 2 N 
60413.0000 M2047 1525 n2 n7 2 N 
60442.0000 M2048 1418 n19 n17 2 N 
60469.0000 M2049 1011 n34 n17 2 N 
60503.0000 M2050 1093 n20 n15 2 N 
60528.0000 M2051 1429 n40 n14 2 N 
60556.0000 M2052 1526 n39 n18 2 N 
60582.0000 M2053 1381 n3 n5 2 N 
60616.0000 M2054 1178 n28 n26 2 N 
60648.0000 M2055 1629 n12 n33 2 N 
60682.0000 M2056 1883 n7 n18 2 N 
60715.0000 M2057 1868 n18 n16 2 N 
60743.0000 M2058 1745 n27 n21 2 N 
60769.0000 M2059 1583 n27 n4 2 N 
60796.0000 M2060 1123 n34 n11 2 N 
60823.0000 M2061 1185 n16 n13 2 N 
60850.0000 M2062 1149 n22 n39 2 N 
60875.0000 M2063 1053 n5 n23 2 N 
60909.0000 M2064 1817 n9 n10 2 N 
60943.0000 M2065 1576 n40 n15 2 N 
60970.0000 M2066 1352 n24 n16 2 N 
60999.0000 M2067 1666 n14 n26 2 N 
61029.0000 M2068 1663 n4 n31 2 N 
61055.0000 M2069 1251 n38 n16 2 N 
61089.0000 M2070 1765 n37 n40 2 N 
61118.0000 M2071 1807 n2 n18 2 N 
61152.0000 M2072 1689 n20 n39 2 N 
61179.0000 M2073 1908 n27 n0 2 N 
61212.0000 M2074 1454 n0 n24 2 N 
61239.0000 M2075 1937 n7 n26 2 N 
61273.0000 M2076 1471 n3 n24 2 N 
61304.0000 M2077 1175 n28 n4 2 N 
61330.0000 M2078 1957 n2 n27 2 N 
61362.0000 M2079 1601 n39 n28 2 N 
61393.0000 M2080 1246 n39 n33 2 N 
61418.0000 M2081 1293 n7 n25 2 N 
61443.0000 M2082 1861 n37 n9 2 N 
61472.0000 M2083 1241 n35 n38 2 N 
61499.0000 M2084 1463 n21 n23 2 N 
61528.0000 M2085 1017 n34 n39 2 N 
61560.0000 M2086 1721 n12 n4 2 N 
61592.0000 M2087 1205 n16 n30 2 N 
61625.0000 M2088 1525 n21 n30 2 N 
61659.0000 M2089 1165 n27 n21 2 N 
61693.0000 M2090 1779 n7 n13 2 N 
61720.0000 M2091 1791 n31 n9 2 N 
61749.0000 M2092 1450 n29 n18 2 N 
61778.0000 M2093 1540 n31 n21 2 N 
61803.0000 M2094 1118 n1 n32 2 N 
61836.0000 M2095 1528 n25 n18 2 N 
61870.0000 M2096 1377 n36 n37 2 N 
61895.0000 M2097 1673 n8 n36 2 N 
61921.0000 M2098 1892 n40 n0 2 N 
61951.0000 M2099 1453 n6 n30 2 N 
61979.0000 M2100 1580 n37 n12 2 N 
62010.0000 M2101 1054 n0 n16 2 N 
62043.0000 M2102 1319 n6 n9 2 N 
62069.0000 M2103 1103 n19 n20 2 N 
62094.0000 M2104 1342 n25 n6 2 N 
62123.0000 M2105 1877 n1 n0 2 N 
62156.0000 M2106 1019 n24 n17 2 N 
62186.0000 M2107 1536 n5 n7 2 N 
62219.0000 M2108 1218 n16 n22 2 N 
62248.0000 M2109 1857 n4 n29 2 N 
62282.0000 M2110 1209 n9 n40 2 N 
62314.0000 M2111 1092 n9 n26 2 N 
62342.0000 M2112 1929 n22 n18 2 N 
62368.0000 M2113 1837 n2 n16 2 N 
62396.0000 M2114 1164 n9 n8 2 N 
62425.0000 M2115 1132 n12 n15 2 N 
62452.0000 M2116 1311 n36 n1 2 N 
62477.0000 M2117 1291 n37 n24 2 N 
62507.0000 M2118 1807 n39 n14 2 N 
62535.0000 M2119 1604 n40 n13 2 N 
62560.0000 M2120 1941 n39 n5 2 N 
62590.0000 M2121 1197 n27 n12 2 N 
62623.0000 M2122 1948 n20 n29 2 N 
62650.0000 M2123 1845 n25 n29 2 N 
62680.0000 M2124 1311 n15 n32 2 N 
62705.0000 M2125 1558 n40 n15 2 N 
62734.0000 M2126 1637 n27 n1 2 N 
62766.0000 M2127 1171 n12 n29 2 N 
62798.0000 M2128 1327 n11 n16 2 N 
62832.0000 M2129 1528 n1 n34 2 N 
62862.0000 M2130 1726 n17 n6 2 N 
62894.0000 M2131 1191 n27 n20 2 N 
62920.0000 M2132 1471 n25 n2 2 N 
62947.0000 M2133 1279 n30 n12 2 N 
62979.0000 M2134 1640 n31 n2 2 N 
63007.0000 M2135 1700 n14 n7 2 N 
63040.0000 M2136 1962 n27 n14 2 N 
63071.0000 M2137 1188 n8 n17 2 N 
63103.0000 M2138 1686 n28 n38 2 N 
63129.0000 M2139 1438 n10 n39 2 N 
63159.0000 M2140 1098 n0 n5 2 N 
63193.0000 M2141 1986 n39 n40 2 N 
63224.0000 M2142 1027 n40 n34 2 N 
63256.0000 M2143 1373 n5 n27 2 N 
63282.0000 M2144 1194 n38 n12 2 N 
63311.0000 M2145 1156 n1 n25 2 N 
63341.0000 M2146 1745 n35 n12 2 N 
63373.0000 M2147 1541 n15 n10 2 N 
63401.0000 M2148 1189 n29 n6 2 N 
63429.0000 M2149 1643 n21 n15 2 N 
63458.0000 M2150 1499 n38 n26 2 N 
63485.0000 M2151 1065 n26 n37 2 N 
63513.0000 M2152 1900 n7 n40 2 N 
63544.0000 M2153 1331 n32 n13 2 N 
63572.0000 M2154 1363 n5 n4 2 N 
63599.0000 M2155 1042 n14 n10 2 N 
63633.0000 M2156 1611 n40 n33 2 N 
63661.0000 M2157 1590 n36 n0 2 N 
63687.0000 M2158 1291 n18 n34 2 N 
63715.0000 M2159 1235 n13 n21 2 N 
63748.0000 M2160 1835 n19 n15 2 N 
63779.0000 M2161 1166 n32 n24 2 N 
63807.0000 M2162 1158 n2 n29 2 N 
63839.0000 M2163 1759 n36 n40 2 N 
63869.0000 M2164 1424 n31 n4 2 N 
63900.0000 M2165 1143 n35 n13 2 N 
63934.0000 M2166 1695 n23 n37 2 N 
63960.0000 M2167 1473 n9 n32 2 N 
63987.0000 M2168 1740 n26 n2 2 N 
64017.0000 M2169 1698 n6 n11 2 N 
64043.0000 M2170 1801 n29 n13 2 N 
64074.0000 M2171 1986 n22 n6 2 N 
64104.0000 M2172 1289 n8 n30 2 N 
64133.0000 M2173 1394 n31 n6 2 N 
64167.0000 M2174 1540 n24 n38 2 N 
64200.0000 M2175 1501 n9 n16 2 N 
64234.0000 M2176 1554 n23 n37 2 N 
64265.0000 M2177 1265 n12 n37 2 N 
64296.0000 M2178 1341 n36 n6 2 N 
64326.0000 M2179 1885 n20 n9 2 N 
64356.0000 M2180 1882 n7 n3 2 N 
64381.0000 M2181 1482 n2 n37 2 N 
64408.0000 M2182 1662 n5 n12 2 N 
64437.0000 M2183 1716 n25 n33 2 N 
64468.0000 M2184 1330 n11 n9 2 N 
64498.0000 M2185 1040 n20 n21 2 N 
64532.0000 M2186 1768 n27 n6 2 N 
64564.0000 M2187 1629 n7 n27 2 N 
64598.0000 M2188 1229 n33 n8 2 N 
64624.0000 M2189 1309 n22 n16 2 N 
64653.0000 M2190 1687 n4 n8 2 N 
64681.0000 M2191 1906 n11 n33 2 N 
64710.0000 M2192 1663 n5 n19 2 N 
64744.0000 M2193 1427 n39 n21 2 N 
64775.0000 M2194 1526 n8 n28 2 N 
64809.0000 M2195 1910 n8 n17 2 N 
64835.0000 M2196 1091 n36 n13 2 N 
64866.0000 M2197 1621 n7 n3 2 N 
64893.0000 M2198 1081 n35 n17 2 N 
64922.0000 M2199 1483 n17 n28 2 N 
64953.0000 M2200 1242 n1 n17 2 N 
64980.0000 M2201 1626 n34 n1 2 N 
65008.0000 M2202 1953 n21 n27 2 N 
65036.0000 M2203 1473 n5 n4 2 N 
65068.0000 M2204 1948 n21 n8 2 N 
65101.0000 M2205 1958 n16 n23 2 N 
65127.0000 M2206 1370 n21 n29 2 N 
65156.0000 M2207 1468 n20 n31 2 N 
65186.0000 M2208 1049 n22 n36 2 N 
65216.0000 M2209 1261 n29 n26 2 N 
65244.0000 M2210 1500 n1 n12 2 N 
65275.0000 M2211 1356 n2 n26 2 N 
65309.0000 M2212 1656 n8 n19 2 N 
65340.0000 M2213 1363 n16 n33 2 N 
65370.0000 M2214 1565 n18 n39 2 N 
65398.0000 M2215 1332 n3 n12 2 N 
65431.0000 M2216 1657 n15 n19 2 N 
65457.0000 M2217 1766 n31 n13 2 N 
65489.0000 M2218 1666 n13 n5 2 N 
65515.0000 M2219 1001 n16 n0 2 N 
65549.0000 M2220 1890 n25 n40 2 N 
65580.0000 M2221 1998 n19 n37 2 N 
65607.0000 M2222 1450 n4 n35 2 N 
65639.0000 M2223 1217 n14 n8 2 N 
65671.0000 M2224 1506 n12 n20 2 N 
65699.0000 M2225 1073 n17 n12 2 N 
65728.0000 M2226 1212 n32 n19 2 N 
65761.0000 M2227 1652 n15 n13 2 N 
65786.0000 M2228 1166 n9 n16 2 N 
65814.0000 M2229 1813 n17 n26 2 N 
65845.0000 M2230 1606 n14 n6 2 N 
65877.0000 M2231 1792 n5 n17 2 N 
65908.0000 M2232 1294 n31 n22 2 N 
65941.0000 M2233 1706 n2 n5 2 N 
65970.0000 M2234 1559 n40 n11 2 N 
66003.0000 M2235 1443 n10 n36 2 N 
66034.0000 M2236 1439 n17 n32 2 N 
66066.0000 M2237 1701 n30 n12 2 N 
66100.0000 M2238 1957 n38 n34 2 N 
66125.0000 M2239 1428 n22 n32 2 N 
66155.0000 M2240 1665 n0 n40 2 N 
66185.0000 M2241 1669 n31 n9 2 N 
66218.0000 M2242 1247 n39 n36 2 N 
66250.0000 M2243 1057 n34 n33 2 N 
66284.0000 M2244 1306 n15 n9 2 N 
66312.0000 M2245 1224 n12 n3 2 N 
66337.0000 M2246 1626 n25 n21 2 N 
66365.0000 M2247 1776 n1 n3 2 N 
66390.0000 M2248 1784 n17 n22 2 N 
66420.0000 M2249 1582 n37 n18 2 N 
66445.0000 M2250 1159 n30 n7 2 N 
66470.0000 M2251 1642 n2 n33 2 N 
66498.0000 M2252 1114 n9 n24 2 N 
66528.0000 M2253 1076 n2 n25 2 N 
66560.0000 M2254 1698 n17 n33 2 N 
66594.0000 M2255 1354 n32 n27 2 N 
66620.0000 M2256 1263 n11 n32 2 N 
66646.0000 M2257 1034 n2 n20 2 N 
66680.0000 M2258 1860 n21 n12 2 N 
66708.0000 M2259 1938 n25 n26 2 N 
66733.0000 M2260 1637 n18 n40 2 N 
66767.0000 M2261 1140 n16 n2 2 N 
66797.0000 M2262 1281 n18 n19 2 N 
66831.0000 M2263 1902 n20 n0 2 N 
66858.0000 M2264 1154 n18 n24 2 N 
66891.0000 M2265 1467 n29 n3 2 N 
66917.0000 M2266 1145 n25 n0 2 N 
66951.0000 M2267 1501 n5 n4 2 N 
66980.0000 M2268 1716 n37 n1 2 N 
67007.0000 M2269 1949 n22 n18 2 N 
67040.0000 M2270 1714 n26 n1 2 N 
67071.0000 M2271 1286 n27 n18 2 N 
67097.0000 M2272 1644 n39 n12 2 N 
67127.0000 M2273 1767 n27 n9 2 N 
67154.0000 M2274 1411 n10 n2 2 N 
67184.0000 M2275 1031 n26 n21 2 N 
67213.0000 M2276 1182 n20 n33 2 N 
67238.0000 M2277 1913 n9 n2 2 N 
67271.0000 M2278 1322 n22 n32 2 N 
67303.0000 M2279 1647 n8 n34 2 N 
67334.0000 M2280 1354 n34 n3 2 N 
67366.0000 M2281 1827 n3 n32 2 N 
67394.0000 M2282 1634 n34 n32 2 N 
67419.0000 M2283 1015 n13 n35 2 N 
67445.0000 M2284 1899 n25 n34 2 N 
67474.0000 M2285 1328 n2 n14 2 N 
67508.0000 M2286 1860 n15 n38 2 N 
67541.0000 M2287 1163 n34 n30 2 N 
67573.0000 M2288 1527 n6 n23 2 N 
67607.0000 M2289 1642 n16 n40 2 N 
67641.0000 M2290 1786 n33 n22 2 N 
67667.0000 M2291 1839 n4 n9 2 N 
67696.0000 M2292 1303 n38 n30 2 N 
67726.0000 M2293 1822 n38 n3 2 N 
67760.0000 M2294 1594 n35 n25 2 N 
67787.0000 M2295 1974 n28 n21 2 N 
67814.0000 M2296 1833 n25 n13 2 N 
67848.0000 M2297 1898 n9 n20 2 N 
67878.0000 M2298 1443 n9 n22 2 N 
67912.0000 M2299 1967 n22 n15 2 N 
67937.0000 M2300 1816 n15 n0 2 N 
67968.0000 M2301 1617 n20 n7 2 N 
67999.0000 M2302 1949 n7 n10 2 N 
68025.0000 M2303 1539 n8 n14 2 N 
68052.0000 M2304 1919 n19 n14 2 N 
68084.0000 M2305 1125 n30 n14 2 N 
68113.0000 M2306 1252 n21 n22 2 N 
68142.0000 M2307 1261 n2 n26 2 N 
68173.0000 M2308 1423 n30 n15 2 N 
68206.0000 M2309 1505 n9 n6 2 N 
68235.0000 M2310 1331 n13 n5 2 N 
68261.0000 M2311 1385 n19 n39 2 N 
68287.0000 M2312 1476 n19 n20 2 N 
68315.0000 M2313 1343 n22 n36 2 N 
68347.0000 M2314 1843 n23 n21 2 N 
68374.0000 M2315 1944 n39 n15 2 N 
68405.0000 M2316 1240 n9 n20 2 N 
68438.0000 M2317 1457 n27 n26 2 N 
68466.0000 M2318 1960 n15 n19 2 N 
68500.0000 M2319 1764 n15 n40 2 N 
68527.0000 M2320 1998 n12 n18 2 N 
68552.0000 M2321 1331 n13 n27 2 N 
68580.0000 M2322 1259 n11 n2 2 N 
